timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734539250566,484,codeforces,403,Forbidden,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 484 milliseconds, but should not have lasted longer than 150 milliseconds.",10487,116,1,1,https://codeforces.com/,481,0,445
1734539251445,40,codeforces,403,Forbidden,2105017_threadGroup 1-2,text,false,,10491,116,2,2,https://codeforces.com/,38,0,20
1734539252451,38,codeforces,403,Forbidden,2105017_threadGroup 1-3,text,false,,10493,116,3,3,https://codeforces.com/,37,0,18
1734539251486,1147,"/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D-176",200,,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 1,147 milliseconds, but should not have lasted longer than 150 milliseconds.",628,991,3,3,"https://bam.nr-data.net/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D",1147,0,135
1734539251058,1623,"/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D-176",200,,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 1,623 milliseconds, but should not have lasted longer than 150 milliseconds.",623,991,3,3,"https://bam.nr-data.net/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D",1622,0,625
1734539252635,183,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095-177,204,No Content,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 183 milliseconds, but should not have lasted longer than 150 milliseconds.",824,980,3,3,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095,0,0,113
1734539252682,180,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095-177,204,No Content,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 180 milliseconds, but should not have lasted longer than 150 milliseconds.",824,980,3,3,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095,0,0,108
1734539252819,299,/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=15499&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e-178,200,,2105017_threadGroup 1-2,bin,false,"The operation lasted too long: It took 299 milliseconds, but should not have lasted longer than 150 milliseconds.",339,1176,3,3,https://bam.nr-data.net/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=15499&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e,299,0,0
1734539252863,450,/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=15499&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e-178,200,,2105017_threadGroup 1-1,bin,false,"The operation lasted too long: It took 450 milliseconds, but should not have lasted longer than 150 milliseconds.",339,1176,3,3,https://bam.nr-data.net/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=15499&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e,450,0,138
1734539253439,28,codeforces,403,Forbidden,2105017_threadGroup 1-4,text,false,,10468,116,4,4,https://codeforces.com/,27,0,15
