timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734535178957,1,leetcode,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,2105017_threadGroup 1-1,text,false,,1122,0,1,1,http:/,0,0,0
1734535178963,1393,/products/87b5a3c3f1a55520/web/leetcode.com/settings/general-114,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 1,393 milliseconds, but should not have lasted longer than 150 milliseconds.",289,444,1,1,https://tags.growingio.com/products/87b5a3c3f1a55520/web/leetcode.com/settings/general,1392,0,1105
1734535180358,425,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120-116,204,No Content,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 425 milliseconds, but should not have lasted longer than 150 milliseconds.",824,964,1,1,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120,0,0,266
1734535180806,0,leetcode,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,2105017_threadGroup 1-2,text,false,,1122,0,2,2,http:/,0,0,0
1734535180784,379,/submit/firefox-desktop/dau-reporting/1/c9536ab0-83ec-411e-93d6-aa6d2ba97c7b-115,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 379 milliseconds, but should not have lasted longer than 150 milliseconds.",914,2187,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/dau-reporting/1/c9536ab0-83ec-411e-93d6-aa6d2ba97c7b,379,0,87
1734535181164,305,/submit/firefox-desktop/baseline/1/f1022690-164e-4fa8-9add-e77a63f1602e-117,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 305 milliseconds, but should not have lasted longer than 150 milliseconds.",807,2360,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/f1022690-164e-4fa8-9add-e77a63f1602e,305,0,0
1734535180808,862,/products/87b5a3c3f1a55520/web/leetcode.com/settings/general-114,200,OK,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 862 milliseconds, but should not have lasted longer than 150 milliseconds.",289,444,2,2,https://tags.growingio.com/products/87b5a3c3f1a55520/web/leetcode.com/settings/general,862,0,577
1734535181470,318,/complete/search-118,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 318 milliseconds, but should not have lasted longer than 150 milliseconds.",1364,293,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=le,318,0,170
1734535181789,196,/complete/search-119,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 196 milliseconds, but should not have lasted longer than 150 milliseconds.",2002,294,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=lee,196,0,0
1734535181671,417,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120-116,204,No Content,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 417 milliseconds, but should not have lasted longer than 150 milliseconds.",824,964,2,2,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120,0,0,260
1734535181986,164,/complete/search-120,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 164 milliseconds, but should not have lasted longer than 150 milliseconds.",1671,295,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=leet,164,0,0
1734535182090,364,/submit/firefox-desktop/dau-reporting/1/c9536ab0-83ec-411e-93d6-aa6d2ba97c7b-115,200,OK,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 364 milliseconds, but should not have lasted longer than 150 milliseconds.",882,2187,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/dau-reporting/1/c9536ab0-83ec-411e-93d6-aa6d2ba97c7b,364,0,90
1734535182151,515,/-121,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 515 milliseconds, but should not have lasted longer than 150 milliseconds.",8051,446,2,2,https://leetcode.com/,515,0,32
1734535182454,289,/submit/firefox-desktop/baseline/1/f1022690-164e-4fa8-9add-e77a63f1602e-117,200,OK,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 289 milliseconds, but should not have lasted longer than 150 milliseconds.",753,2360,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/f1022690-164e-4fa8-9add-e77a63f1602e,289,0,0
1734535182806,0,leetcode,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,2105017_threadGroup 1-3,text,false,,1122,0,3,3,http:/,0,0,0
