timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734538495878,557,codeforces,403,Forbidden,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 557 milliseconds, but should not have lasted longer than 150 milliseconds.",10451,116,1,1,https://codeforces.com/,553,0,450
1734538496442,1178,"/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D-176",200,,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 1,178 milliseconds, but should not have lasted longer than 150 milliseconds.",628,991,1,1,"https://bam.nr-data.net/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D",1178,0,160
1734538497744,38,codeforces,403,Forbidden,2105017_threadGroup 1-2,text,false,,10491,116,2,2,https://codeforces.com/,37,0,19
1734538497623,414,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095-177,204,No Content,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 414 milliseconds, but should not have lasted longer than 150 milliseconds.",824,980,2,2,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095,0,0,251
1734538498038,304,/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=15499&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e-178,200,,2105017_threadGroup 1-1,bin,false,"The operation lasted too long: It took 304 milliseconds, but should not have lasted longer than 150 milliseconds.",339,1176,2,2,https://bam.nr-data.net/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=15499&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e,304,0,0
1734538498343,294,/jserrors/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=16998&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e-181,200,,2105017_threadGroup 1-1,bin,false,"The operation lasted too long: It took 294 milliseconds, but should not have lasted longer than 150 milliseconds.",383,1402,2,2,https://bam.nr-data.net/jserrors/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=16998&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e,294,0,0
1734538497783,1143,"/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D-176",200,,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 1,143 milliseconds, but should not have lasted longer than 150 milliseconds.",623,991,2,2,"https://bam.nr-data.net/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=5953&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e&af=err,spa,xhr,stn,ins&ap=24&be=2&fe=2277&dc=1501&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1734515035365,%22n%22:0,%22f%22:1,%22dn%22:5,%22dne%22:5,%22c%22:5,%22s%22:6,%22ce%22:6,%22rq%22:6,%22rp%22:7,%22rpe%22:1071,%22di%22:1506,%22ds%22:1507,%22de%22:1509,%22dc%22:2283,%22l%22:2283,%22le%22:2285%7D,%22navigation%22:%7B%7D%7D",1143,0,143
1734538498639,304,/jserrors/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=17000&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e-180,200,,2105017_threadGroup 1-1,bin,false,"The operation lasted too long: It took 304 milliseconds, but should not have lasted longer than 150 milliseconds.",383,2263,2,2,https://bam.nr-data.net/jserrors/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=17000&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e,304,0,0
1734538498928,420,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095-177,204,No Content,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 420 milliseconds, but should not have lasted longer than 150 milliseconds.",824,980,2,2,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734515036467&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=1&pscdl=noapi&_eu=AEA&_s=2&uid=&sid=1734513655&sct=1&seg=1&dl=https%3A%2F%2Fleetcode.com%2Fplayground%2FUpwhGDg6%2Fshared&dr=https%3A%2F%2Fleetcode.com%2F&dt=Shared%20-%20LeetCode%20Playground&en=scroll&epn.percent_scrolled=90&tfd=8095,0,0,262
1734538498944,534,/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=16996&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e-179,200,,2105017_threadGroup 1-1,bin,false,"The operation lasted too long: It took 534 milliseconds, but should not have lasted longer than 150 milliseconds.",383,740,2,2,https://bam.nr-data.net/events/1/8d5fb92f6e?a=1100293087&v=1.276.0&to=ZwMAYEdSCktRWxZRXV5JJEFbUBBRX1ZNSF5RHwVGWkYKXB5OC11FQ1wxXFRBAVxgVANBVUIJF1pRZQ1dRxYFXUY%3D&rst=16996&ck=0&s=b06560af563d7779&ref=https://leetcode.com/playground/UpwhGDg6/shared&ptid=3e3fe48c1952ae9e,534,0,0
