timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734537878639,3,leetcode,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,2105017_threadGroup 1-1,text,false,,1122,0,1,1,http:/,0,0,0
1734537878646,1134,/products/87b5a3c3f1a55520/web/leetcode.com/settings/general-114,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 1,134 milliseconds, but should not have lasted longer than 150 milliseconds.",289,444,1,1,https://tags.growingio.com/products/87b5a3c3f1a55520/web/leetcode.com/settings/general,1133,0,843
1734537879782,313,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120-116,204,No Content,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 313 milliseconds, but should not have lasted longer than 150 milliseconds.",824,964,1,1,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120,0,0,190
1734537880097,396,/submit/firefox-desktop/dau-reporting/1/c9536ab0-83ec-411e-93d6-aa6d2ba97c7b-115,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 396 milliseconds, but should not have lasted longer than 150 milliseconds.",881,2187,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/dau-reporting/1/c9536ab0-83ec-411e-93d6-aa6d2ba97c7b,396,0,92
1734537880499,0,leetcode,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,2105017_threadGroup 1-2,text,false,,1122,0,2,2,http:/,0,0,0
1734537880494,276,/submit/firefox-desktop/baseline/1/f1022690-164e-4fa8-9add-e77a63f1602e-117,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 276 milliseconds, but should not have lasted longer than 150 milliseconds.",871,2360,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/f1022690-164e-4fa8-9add-e77a63f1602e,276,0,0
1734537880771,605,/complete/search-118,403,Forbidden,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 605 milliseconds, but should not have lasted longer than 150 milliseconds.",1285,293,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=le,604,0,192
1734537880499,881,/products/87b5a3c3f1a55520/web/leetcode.com/settings/general-114,200,OK,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 881 milliseconds, but should not have lasted longer than 150 milliseconds.",289,444,2,2,https://tags.growingio.com/products/87b5a3c3f1a55520/web/leetcode.com/settings/general,881,0,591
1734537881381,301,/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120-116,204,No Content,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 301 milliseconds, but should not have lasted longer than 150 milliseconds.",824,964,2,2,https://analytics.google.com/g/collect?v=2&tid=G-CDRWKZTDEX&gtm=45je4cc1v892315079za200&_p=1734513641808&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&cid=999762296.1734513656&ul=en-us&sr=1536x864&frm=0&pscdl=noapi&_s=2&uid=&sid=1734513655&sct=1&seg=0&dl=https%3A%2F%2Fleetcode.com%2F&dt=LeetCode%20-%20The%20World%27s%20Leading%20Online%20Programming%20Learning%20Platform&en=user_engagement&_et=8170&tfd=1374120,0,0,180
1734537881377,336,/complete/search-119,403,Forbidden,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 336 milliseconds, but should not have lasted longer than 150 milliseconds.",1285,294,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=lee,336,0,0
