timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734083625201,1715,moodle,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 1,715 milliseconds, but should not have lasted longer than 650 milliseconds.",85522,245,2,2,https://cse.buet.ac.bd/moodle/,1563,0,1540
1734083625201,1563,moodle-0,301,Moved Permanently,2105017_threadGroup 1-1,text,true,,505,122,2,2,https://cse.buet.ac.bd/moodle,1563,0,1540
1734083626766,150,moodle-1,200,OK,2105017_threadGroup 1-1,text,true,,85017,123,2,2,https://cse.buet.ac.bd/moodle/,48,0,0
1734083626068,870,moodle,200,OK,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 870 milliseconds, but should not have lasted longer than 650 milliseconds.",85522,245,2,2,https://cse.buet.ac.bd/moodle/,697,0,674
1734083626068,697,moodle-0,301,Moved Permanently,2105017_threadGroup 1-2,text,true,,505,122,2,2,https://cse.buet.ac.bd/moodle,697,0,674
1734083626766,172,moodle-1,200,OK,2105017_threadGroup 1-2,text,true,,85017,123,2,2,https://cse.buet.ac.bd/moodle/,63,0,0
1734083626919,270,/complete/search-1,200,OK,2105017_threadGroup 1-1,text,true,,1488,294,3,3,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,270,0,131
1734083626940,249,/complete/search-1,200,OK,2105017_threadGroup 1-2,text,true,,1488,294,3,3,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,249,0,110
1734083627191,133,/moodle/-2,200,OK,2105017_threadGroup 1-1,text,true,,12081,455,3,3,https://cse.buet.ac.bd/moodle/,132,0,0
1734083627191,136,/moodle/-2,200,OK,2105017_threadGroup 1-2,text,true,,12080,455,3,3,https://cse.buet.ac.bd/moodle/,135,0,0
1734083627327,16,/moodle/pluginfile.php/5/user/icon/classic/f2-4,200,OK,2105017_threadGroup 1-2,bin,true,,2002,503,3,3,https://cse.buet.ac.bd/moodle/pluginfile.php/5/user/icon/classic/f2?rev=462,16,0,0
1734083627324,20,/moodle/pluginfile.php/5/user/icon/classic/f2-4,200,OK,2105017_threadGroup 1-1,bin,true,,2002,503,3,3,https://cse.buet.ac.bd/moodle/pluginfile.php/5/user/icon/classic/f2?rev=462,20,0,0
1734083627345,387,/submit/firefox-desktop/newtab/1/b4f5c136-bafd-491b-ad1f-c6a7c8798433-5,200,OK,2105017_threadGroup 1-1,text,true,,897,2918,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/b4f5c136-bafd-491b-ad1f-c6a7c8798433,387,0,89
1734083627344,390,/submit/firefox-desktop/newtab/1/b4f5c136-bafd-491b-ad1f-c6a7c8798433-5,200,OK,2105017_threadGroup 1-2,text,true,,907,2918,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/b4f5c136-bafd-491b-ad1f-c6a7c8798433,390,0,93
1734083627735,49,/moodle/my/courses.php-6,200,OK,2105017_threadGroup 1-2,text,true,,8817,520,3,3,https://cse.buet.ac.bd/moodle/my/courses.php,48,0,0
1734083627733,51,/moodle/my/courses.php-6,200,OK,2105017_threadGroup 1-1,text,true,,8816,520,3,3,https://cse.buet.ac.bd/moodle/my/courses.php,50,0,0
1734083627784,75,/moodle/course/view.php-7,200,OK,2105017_threadGroup 1-1,text,true,,10801,1608,3,3,https://cse.buet.ac.bd/moodle/login/index.php,32,0,0
1734083627784,75,/moodle/course/view.php-7,200,OK,2105017_threadGroup 1-2,text,true,,10799,1608,3,3,https://cse.buet.ac.bd/moodle/login/index.php,35,0,0
1734083627784,32,/moodle/course/view.php-7-0,303,See Other,2105017_threadGroup 1-1,text,true,,2099,538,3,3,https://cse.buet.ac.bd/moodle/course/view.php?id=81,32,0,0
1734083627784,35,/moodle/course/view.php-7-0,303,See Other,2105017_threadGroup 1-2,text,true,,2099,538,3,3,https://cse.buet.ac.bd/moodle/course/view.php?id=81,35,0,0
1734083627816,17,/moodle/course/view.php-7-1,303,See Other,2105017_threadGroup 1-1,text,true,,2010,538,3,3,https://cse.buet.ac.bd/moodle/enrol/index.php?id=81,17,0,0
1734083627819,15,/moodle/course/view.php-7-1,303,See Other,2105017_threadGroup 1-2,text,true,,2010,538,3,3,https://cse.buet.ac.bd/moodle/enrol/index.php?id=81,15,0,0
